CaseNumber,InstitutionName,InstitutionURL,DetailsURL,DateOpened,Status,OpenFor,DateResolved
90,University of North Carolina at Chapel Hill,www.unc.edu,http://projects.chronicle.com/titleix/case/90,"March 1, 2013",Open,"2years, 10months",NA
91,University of Tennessee at Knoxville,www.tennessee.edu,http://projects.chronicle.com/titleix/case/91,"June 29, 2015",Open,"6months, 2weeks",NA
93,Vincennes University,vinu.edu,http://projects.chronicle.com/titleix/case/93,"March 20, 2014",Open,"1year, 9months",NA
95,Virginia Commonwealth University,www.vcu.edu,http://projects.chronicle.com/titleix/case/95,"February 9, 2011",Resolved,"7months, 3weeks","September 30, 2011"
97,"State University of New York, The College at Brockport",www.brockport.edu,http://projects.chronicle.com/titleix/case/97,"February 12, 2015",Open,11months,NA
98,Buffalo State College,www.buffalostate.edu,http://projects.chronicle.com/titleix/case/98,"March 26, 2015",Open,"9months, 3weeks",NA
99,Temple University,www.temple.edu,http://projects.chronicle.com/titleix/case/99,"August 9, 2013",Open,"2years, 5months",NA
100,Temple University,www.temple.edu,http://projects.chronicle.com/titleix/case/100,"November 19, 2014",Open,"1year, 1month",NA
101,Quincy College,www.quincycollege.edu,http://projects.chronicle.com/titleix/case/101,"May 29, 2012",Resolved,"1year, 3months","August 27, 2013"
102,Regis University,www.regis.edu,http://projects.chronicle.com/titleix/case/102,"April 30, 2013",Open,"2years, 8months",NA
103,St. Mary's College of Maryland,www.smcm.edu,http://projects.chronicle.com/titleix/case/103,"June 29, 2012",Resolved,12months,"June 24, 2013"
104,St. Thomas Aquinas College,www.stac.edu,http://projects.chronicle.com/titleix/case/104,"July 9, 2014",Open,"1year, 6months",NA
105,Brandeis University,www.brandeis.edu,http://projects.chronicle.com/titleix/case/105,"August 29, 2014",Resolved,"7months, 3weeks","April 22, 2015"
106,Samuel Merritt University,www.samuelmerritt.edu,http://projects.chronicle.com/titleix/case/106,"January 24, 2014",Resolved,< 1 month,"February 10, 2014"
107,Cedarville University,www.cedarville.edu,http://projects.chronicle.com/titleix/case/107,"July 1, 2013",Resolved,"11months, 3weeks","June 23, 2014"
108,George Washington University,www.gwu.edu,http://projects.chronicle.com/titleix/case/108,"March 21, 2011",Resolved,"5months, 1week","August 31, 2011"
109,San Francisco State University,www.sfsu.edu,http://projects.chronicle.com/titleix/case/109,"March 10, 2015",Open,"10months, 1week",NA
110,San Jose/Evergreen Community College District,www.sjeccd.edu,http://projects.chronicle.com/titleix/case/110,"November 12, 2014",Open,"1year, 2months",NA
111,Southern Methodist University,www.smu.edu,http://projects.chronicle.com/titleix/case/111,"August 17, 2011",Resolved,"3years, 3months","December 11, 2014"
112,Southern Methodist University,www.smu.edu,http://projects.chronicle.com/titleix/case/112,"April 19, 2013",Resolved,"1year, 7months","December 11, 2014"
113,Southwest Acupuncture College (Colo.),www.acupuncturecollege.edu,http://projects.chronicle.com/titleix/case/113,"April 24, 2012",Resolved,"1month, 3weeks","June 14, 2012"
114,Stanford University,www.stanford.edu,http://projects.chronicle.com/titleix/case/114,"May 28, 2015",Open,"7months, 2weeks",NA
116,Hanover College,www.hanover.edu,http://projects.chronicle.com/titleix/case/116,"May 22, 2013",Resolved,"3months, 2weeks","September 6, 2013"
117,Kentucky Wesleyan College,www.kwc.edu,http://projects.chronicle.com/titleix/case/117,"March 12, 2012",Resolved,"1year, 5months","August 15, 2013"
118,Glenville State College,www.glenville.edu,http://projects.chronicle.com/titleix/case/118,"February 2, 2011",Resolved,"11months, 2weeks","January 17, 2012"
119,Oglethorpe University,www.oglethorpe.edu,http://projects.chronicle.com/titleix/case/119,"June 23, 2015",Open,"6months, 3weeks",NA
120,Oklahoma State University at Stillwater,www.okstate.edu,http://projects.chronicle.com/titleix/case/120,"April 10, 2014",Open,"1year, 9months",NA
121,Pitzer College,www.pitzer.edu,http://projects.chronicle.com/titleix/case/121,"March 29, 2012",Resolved,1year,"March 29, 2013"
122,New York University,www.nyu.edu,http://projects.chronicle.com/titleix/case/122,"May 22, 2015",Open,"7months, 3weeks",NA
123,Duke University,www.duke.edu,http://projects.chronicle.com/titleix/case/123,"November 20, 2015",Open,"1month, 3weeks",NA
124,Northern New Mexico College,nnmc.edu,http://projects.chronicle.com/titleix/case/124,"May 12, 2011",Resolved,"8months, 3weeks","January 31, 2012"
125,Princeton University,www.princeton.edu,http://projects.chronicle.com/titleix/case/125,"December 15, 2010",Resolved,"3years, 10months","November 5, 2014"
126,Point Park University,www.pointpark.edu,http://projects.chronicle.com/titleix/case/126,"February 27, 2015",Open,"10months, 2weeks",NA
127,New York University,www.nyu.edu,http://projects.chronicle.com/titleix/case/127,"July 16, 2015",Open,6months,NA
128,St. John's University (N.Y.),www.stjohns.edu,http://projects.chronicle.com/titleix/case/128,"October 1, 2015",Open,"3months, 1week",NA
129,St. John's University (N.Y.),www.stjohns.edu,http://projects.chronicle.com/titleix/case/129,"May 27, 2015",Open,"7months, 2weeks",NA
130,State University of New York at Stony Brook,www.stonybrook.edu,http://projects.chronicle.com/titleix/case/130,"November 1, 2013",Resolved,"3months, 2weeks","February 19, 2014"
131,State University of New York at Stony Brook,www.stonybrook.edu,http://projects.chronicle.com/titleix/case/131,"July 23, 2014",Open,"1year, 5months",NA
133,"University at Albany, SUNY",www.albany.edu,http://projects.chronicle.com/titleix/case/133,"June 16, 2015",Open,7months,NA
